Word,Transcription
אה,e
או,o
אוקיי,okey
אותו,oto
אז,az
אין,en
איפה,efo
את,et
באותו,beoto
בין,ben
בערך,beerex
בצפון,batsafon
ה,ha
הוא,hu
המושלגת,hamushleget
המשולשת,hameshuleshet
הפירמידה,haperamida
הפסגה,hapisga
הפרדס,hapardes
הציור,hatsiyur
ואחר,veaxar
יופי,yofi
יש,yesh
כך,kax
כתוב,katuv
לא,lo
לי,li
לימונים,limonim
לך,lax
לפסגה,lapisga
לקו,lakav
מצפון,mitsafon
נניח,naniax
סנטימטר,santimeter
עוד,od
פרדס,pardes
ציור,tsiyur
קו,kav
של,shel
שני,shney
תתארי,tetaari
